,X.3,X.2,X.1,X,name,address,city,state,zip,Zip.Plus,Contact.First.Name,Contact.Last.Name,contact,Phone,Business.Description,Primary.NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business.Type,County,Employee,Annual.Sales,URL,Year.Established,address_new,url,latitude,longitude,url_status,url_checked
1,1,1,1,1,A & C Campground,3435 Pine Swamp Rd,Sparta,NC,28675,8490,Ricky,Royal,Owner,3363727905,Campgrounds,721211,NA,NA,NA,NA,Private,Alleghany,2,145000,campgroundviews.com,1998,3435 Pine Swamp Rd Sparta NC 28675,https://www.campgroundviews.com,36.45685271,-81.11570427,Accessible,https://www.campgroundviews.com
2,2,2,2,3,Appalachian Pond Campground,828 Qualla Rd,Waynesville,NC,28785,9865,Sarah C,Crider,Manager,8284009800,Campgrounds,721211,NA,NA,NA,NA,Private,Haywood,2,256000,NA,2020,828 Qualla Rd Waynesville NC 28785,,35.57670047,-83.00584129,Not Accessible,
3,3,3,3,5,Art's RV Sites,364 Windemere Dr,Fayetteville,NC,28314,643,Art,Fillyaw,Owner,9108671226,Campgrounds,721211,NA,NA,NA,NA,Private,Cumberland,1,106000,NA,1988,364 Windemere Dr Fayetteville NC 28314,,35.06381471,-78.9744607,Not Accessible,
4,4,4,4,7,Asheville Firefighters Camp,227 Clayton Rd,Arden,NC,28704,8755,NA,NA,NA,8286871677,Campgrounds,721211,NA,NA,NA,NA,Private,Buncombe,2,593000,arden-nc.north-carolina-bd.com,2023,227 Clayton Rd Arden NC 28704,https://www.arden-nc.north-carolina-bd.com,35.48996659,-82.57578161,Not Accessible,
5,5,5,5,9,Asheville West KOA Holiday,309 Wiggins Rd,Candler,NC,28715,8804,Rex,Nance,Owner,8286657015,Campgrounds,721211,721214,721211,712190,NA,Private,Buncombe,5,1483000,koa.com,1996,309 Wiggins Rd Candler NC 28715,https://www.koa.com,35.54422775,-82.76045564,Accessible,https://www.koa.com
6,6,6,6,10,Ashley Creek Campground,227 Ball Gap Rd,Arden,NC,28704,8749,Charles,Emory,Owner,8286848030,Campgrounds,721211,NA,NA,NA,NA,Private,Buncombe,2,593000,NA,2002,227 Ball Gap Rd Arden NC 28704,,35.47925866,-82.58966083,Not Accessible,
7,7,7,7,11,B & D Enterprises Inc,736 Stony Point Rd,Kings Mountain,NC,28086,8567,Thomas G,Brooks,President,7047392958,Campgrounds,721211,NA,NA,NA,NA,Private,Cleveland,2,287000,bdent.com,1997,736 Stony Point Rd Kings Mountain NC 28086,https://www.bdent.com,35.27040108,-81.42468378,Accessible,https://www.bdent.com
8,8,8,8,13,Bandit's Roost Campground,667 Jess Walsh Rd,Wilkesboro,NC,28697,9110,NA,NA,NA,3369213190,Campgrounds,721211,NA,NA,NA,NA,Private,Wilkes,4,543000,recreation.gov,2005,667 Jess Walsh Rd Wilkesboro NC 28697,https://www.recreation.gov,36.12059687,-81.25261403,Accessible,https://www.recreation.gov
9,9,9,9,14,Bear Den Campground,600 Bear Den Mountain Rd,Spruce Pine,NC,28777,8365,Mark,Krauss,Owner,8287652888,Campgrounds,721211,NA,NA,NA,NA,Private,Mitchell,2,415000,ww1.campersview.com,2005,600 Bear Den Mountain Rd Spruce Pine NC 28777,https://www.ww1.campersview.com,35.89353375,-81.97464786,Not Accessible,
10,10,10,10,15,Bell's Island Campground,769 Bells Island Rd,Currituck,NC,27929,9640,William,Privott,Owner,2522322590,Campgrounds,721211,NA,NA,NA,NA,Private,Currituck,1,1.00E+05,bellsislandcamp.com,2011,769 Bells Island Rd Currituck NC 27929,https://www.bellsislandcamp.com,36.4198955,-75.96425758,Not Accessible,
11,11,11,11,16,Black Forest Family Camping,280 Summer Rd,Cedar Mountain,NC,28718,110,Judy,Black,Owner,8288842267,Campgrounds,721211,NA,NA,NA,NA,Private,Transylvania,1,169000,blackforestcampground.com,1995,280 Summer Rd Cedar Mountain NC 28718,https://www.blackforestcampground.com,35.1322985,-82.63783248,Accessible,https://www.blackforestcampground.com
12,12,12,12,17,Black Mountain Campground,50 Black Mtn Campground Rd,Burnsville,NC,28714,8799,Ed,Fortag,Manager,8286755616,Campgrounds,721211,NA,NA,NA,NA,Private,Yancey,4,283000,gofindoutdoors.org,2007,50 Black Mtn Campground Rd Burnsville NC 28714,https://www.gofindoutdoors.org,35.75152168,-82.22092735,Accessible,https://www.gofindoutdoors.org
13,13,13,13,19,Blue Ridge Motorcycle Cmpgrnds,59 Motorcycle Dr,Canton,NC,28716,5202,Leslie,Johnson,Owner,8282358350,Campgrounds,721211,NA,NA,NA,NA,Private,Haywood,2,256000,NA,1984,59 Motorcycle Dr Canton NC 28716,,35.40468312,-82.81039254,Not Accessible,
14,14,14,14,20,Blue Ridge National Parkway,1064 Meadowview Dr # 6,Boone,NC,28607,4855,NA,NA,NA,8282980398,Campgrounds,721211,NA,NA,NA,NA,Private,Watauga,3,197000,virtualblueridge.com,1997,1064 Meadowview Dr # 6 Boone NC 28607,https://www.virtualblueridge.com,36.19481594,-81.65449894,Accessible,https://www.virtualblueridge.com
15,15,15,15,21,Blue Ridge Travel Trailer Park,3576 Chimney Rock Rd,Hendersonville,NC,28792,9381,Doug,Weaver,CEO,8285959588,Campgrounds,721211,531190,NA,NA,NA,Private,Henderson,1,228000,blueridgetravelpark.com,1989,3576 Chimney Rock Rd Hendersonville NC 28792,https://www.blueridgetravelpark.com,35.37779284,-82.36488757,Accessible,https://www.blueridgetravelpark.com
16,16,16,16,23,Boone KOA Holiday,123 Harmony Mountain Ln # 1,Boone,NC,28607,8101,Joann,Harmon,Manager,8282647250,Campgrounds,721211,424350,721214,721211,712190,Private,Watauga,5,492000,koa.com,1984,123 Harmony Mountain Ln # 1 Boone NC 28607,https://www.koa.com,36.25808778,-81.6641465,Accessible,https://www.koa.com
17,17,17,17,24,Brookside Campground,764 US Highway 19,Topton,NC,28781,NA,Robert,Wojdylo,Owner,8283215209,Campgrounds,721211,NA,NA,NA,NA,Private,Macon,2,345000,brooksiderafting.com,1997,764 US Highway 19 Topton NC 28781,https://www.brooksiderafting.com,35.25662724,-83.69393405,Accessible,https://www.brooksiderafting.com
18,18,18,18,26,Bsa-Camp Daniel Boone,3647 Little East Fork Rd,Canton,NC,28716,8672,NA,NA,NA,8286480435,Campgrounds,721211,624110,NA,NA,NA,Private,Haywood,2,256000,danielboonecouncil.org,1910,3647 Little East Fork Rd Canton NC 28716,https://www.danielboonecouncil.org,35.38557186,-82.89605748,Accessible,https://www.danielboonecouncil.org
19,19,19,19,27,Buck Creek RV Park,2576 Toms Creek Rd,Marion,NC,28752,9849,Danny,Watson,Owner,8287244888,Campgrounds,721211,721211,713990,NA,NA,Private,McDowell,1,208000,buckcreekrvparknc.com,1996,2576 Toms Creek Rd Marion NC 28752,https://www.buckcreekrvparknc.com,35.71795303,-82.0723588,Accessible,https://www.buckcreekrvparknc.com
20,20,20,20,28,Buffalo Camp RV Park,102 Harding Dr,Blowing Rock,NC,28605,NA,Patrick,Harding,Owner,8282957518,Campgrounds,721211,NA,NA,NA,NA,Private,Watauga,3,295000,visitnc.com,2015,102 Harding Dr Blowing Rock NC 28605,https://www.visitnc.com,36.12459925,-81.73659721,Accessible,https://www.visitnc.com
