name,Phone,address_new,latitude,longitude,url,RV,Tent,Cabins,Farm
A & C Campground,(336) 372-7905,3435 Pine Swamp Rd Sparta NC 28675,36.45685271,-81.11570427,https://www.accampground.com,1,1,,
Asheville West KOA Holiday,(828) 665-7015,309 Wiggins Rd Candler NC 28715,35.54422775,-82.76045564,https://www.koa.com,1,1,1,
Bandit's Roost Campground,(336) 921-3190,667 Jess Walsh Rd Wilkesboro NC 28697,36.12059687,-81.25261403,https://www.recreation.gov/camping/campgrounds/233421,1,1,,
Black Forest Family Camping,(828) 884-2267,280 Summer Rd Cedar Mountain NC 28718,35.1322985,-82.63783248,https://www.blackforestcampground.com,1,,1,
Cliffside Lake & Van Hook Glade,828.787.1980,"14014 Highlands Road Highlands, NC 28741",35.096101,-83.2632179,https://gofindoutdoors.org/sites/cliffside-lake-van-hook-glade/,1,1,,
Carolina Hemlocks,828.675.5509,"8516 Highway 80 South Burnsville, NC 28714",35.8027977,-82.2029546,https://gofindoutdoors.org/sites/carolina-hemlocks/,1,1,,
Black Mountain Campground,(828) 675-5616,50 Black Mtn Campground Rd Burnsville NC 28714,35.75152168,-82.22092735,https://www.gofindoutdoors.org,1,1,,
Boone KOA Holiday,(828) 264-7250,123 Harmony Mountain Ln # 1 Boone NC 28607,36.25808778,-81.6641465,https://www.koa.com,1,1,1,
Brookside Campground,(828) 321-5209,764 US Highway 19 Topton NC 28781,35.25662724,-83.69393405,https://www.brooksiderafting.com,1,1,,
Byrd's Branch Campground,(336) 000-1111,225 Martin Byrd Rd Elkin NC 28621,36.28899163,-80.8776473,https://www.byrdsbranchcampground.com,1,1,,
Cabin Creek Campground & MHP,(910) 346-4808,3200 Wilmington Hwy Jacksonville NC 28540,34.69209082,-77.47861374,https://www.staycabincreek.com,1,,1,
Cane Creek Campground-Rv Park,(336) 376-8324,1256 Longest Acres Rd Snow Camp NC 27349,35.91641729,-79.44851533,https://www.canecreekcampground.com,1,1,,
Cape Hatteras/Outer Banks KOA,(252) 987-2307,25099 Nc Highway 12 Rodanthe NC 27968,35.57398863,-75.4671176,https://www.koa.com,1,1,1,
Cartoogechaye Creek Campground,(828) 524-8553,91 No Name Rd Franklin NC 28734,35.13725661,-83.49056235,https://www.cartoogechayecreekcampgroundnc.com,1,1,1,
Catawba Falls Campground,(828) 668-4831,35 Peggy Loop Old Fort NC 28762,35.61352503,-82.22322957,https://www.catawbafalls.com,1,1,1,
Cedar Creek Campground Marina,(252) 225-9571,111 Canal Dr Sealevel NC 28577,34.86930932,-76.38325113,https://www.cedarcreekcampgroundandmarina.com,1,1,,
Cedar Creek Resrt Mobile Hm,(252) 223-5234,688 Roberts Rd Newport NC 28570,34.7773951,-76.88536177,https://www.cedarcreekresortmhp.com,1,,,
Creekwood Farm RV Park,(828) 926-7977,4696 Jonathan Creek Rd Waynesville NC 28785,35.58727475,-83.0100303,https://www.creekwoodfarmrv.com,1,,,1
Dan River Campground-Canoeing,(336) 427-8530,724 Webster Rd Stoneville NC 27048,36.39673403,-79.89342972,https://danrivercampground.com,1,1,,
Deep Creek Tube Center,(828) 488-6055,1090 W Deep Creek Rd Bryson City NC 28713,35.44837982,-83.44194701,https://www.deepcreekcamping.com,1,1,1,
Enfield/Rocky Mt KOA Journey,(252) 445-5925,18562 Nc Highway 481 Enfield NC 27823,36.17609878,-77.782157,https://www.koa.com,1,1,1,
Farm Country Campground,(252) 789-8482,2301 Eds Grocery Rd Williamston NC 27892,35.77885096,-77.13985301,https://www.farmcountrycampground.com,1,1,,1
Farm Pond Campground,(910) 947-5593,2590 Union Church Rd Carthage NC 28327,35.30413121,-79.33489523,https://www.farmpondcampground.com,1,,,1
Fayetteville RV Resrt-Cottages,(910) 484-5500,6250 Wade Stedman Rd Wade NC 28395,35.15836439,-78.71124083,https://www.fayettevillervresort.com,1,1,1,
Flintlock Campground,(828) 963-5325,171 Flintlock Campground Dr Boone NC 28607,36.20534962,-81.72840042,https://www.flintlockcampground.com,1,1,1,
Foothills Family Campgrounds,(828) 245-4064,1661 Hogan Rd Forest City NC 28043,35.21225131,-81.85707123,https://www.foothillsfamilycampground.com,1,1,1,
Forest Lake Preserve,(336) 998-4135,192 Thousand Trails Dr Advance NC 27006,35.86057381,-80.39536345,https://thousandtrails.com/north-carolina/forest-lake-rv-camping-resort/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing,1,1,1,
