"","long","lat","Name","description","...5","Website","type","status","water","Address","url_status","url_checked"
"1",-77.9138889,34.045936,"Carolina Beach State Park","State Park",NA,"https://www.ncparks.gov/state-parks/carolina-beach-state-park","State parks",NA,NA,"1010 State Park Rd, Carolina Beach, NC 28428","Accessible","https://www.ncparks.gov/state-parks/carolina-beach-state-park"
"2",-78.9761228,35.2023328,"Carvers Creek State Park","State Park",NA,"https://www.ncparks.gov/state-parks/carvers-creek-state-park","State parks",NA,NA,"2505 Long Valley Rd, Spring Lake, NC 28390","Accessible","https://www.ncparks.gov/state-parks/carvers-creek-state-park"
"3",-82.2485749,35.4397021,"Chimney Rock State Park","State Park",NA,"https://www.ncparks.gov/state-parks/chimney-rock-state-park","State parks",NA,NA,"431 Main St, Chimney Rock, NC 28720","Accessible","https://www.ncparks.gov/state-parks/chimney-rock-state-park"
"4",-77.890446,35.235643,"Cliffs of the Neuse State Park","State Park",NA,"https://www.ncparks.gov/state-parks/cliffs-neuse-state-park","State parks",NA,NA,"40 Park Entrance Rd, Seven Springs, NC 28578","Accessible","https://www.ncparks.gov/state-parks/cliffs-neuse-state-park"
"5",-81.3141461,35.2015141,"Crowders Mountain State Park","State Park",NA,"https://www.ncparks.gov/state-parks/crowders-mountain-state-park","State parks",NA,NA,"522 Park Office Ln, Kings Mountain, NC 28086","Accessible","https://www.ncparks.gov/state-parks/crowders-mountain-state-park"
"6",-76.355809,36.504978,"Dismal Swamp State Park","State Park",NA,"https://www.ncparks.gov/state-parks/dismal-swamp-state-park","State parks",NA,NA,"2294 US-17, South Mills, NC 27976","Accessible","https://www.ncparks.gov/state-parks/dismal-swamp-state-park"
"7",-81.6964318,36.3334616,"Elk Knob State Park","State Park",NA,"https://www.ncparks.gov/state-parks/elk-knob-state-park","State parks",NA,NA,"5564 Meat Camp Rd, Todd, NC 28684","Accessible","https://www.ncparks.gov/state-parks/elk-knob-state-park"
"8",-79.0136476,36.0765759,"Eno River State Park","State Park",NA,"https://www.ncparks.gov/state-parks/eno-river-state-park","State parks",NA,NA,"6101 Cole Mill Road Durham, NC 27705","Accessible","https://www.ncparks.gov/state-parks/eno-river-state-park"
"9",-78.6990695,36.0306401,"Falls Lake State Recreation Area","State Park",NA,"https://www.ncparks.gov/state-parks/falls-lake-state-recreation-area","State parks",NA,NA,"13304 Creedmoor Rd, Wake Forest, NC 27587","Accessible","https://www.ncparks.gov/state-parks/falls-lake-state-recreation-area"
"10",-77.9226249,33.964917,"Fort Fisher State Recreation Area","State Park",NA,"https://www.ncparks.gov/state-parks/fort-fisher-state-recreation-area","State parks",NA,NA,"1000 Loggerhead Rd, Kure Beach, NC 28449","Accessible","https://www.ncparks.gov/state-parks/fort-fisher-state-recreation-area"
"11",-76.6922289,34.7000204,"Fort Macon State Park","State Park",NA,"https://www.ncparks.gov/state-parks/fort-macon-state-park","State parks",NA,NA,"2303 E Fort Macon Rd, Atlantic Beach, NC 28512","Accessible","https://www.ncparks.gov/state-parks/fort-macon-state-park"
"12",-76.910534,35.4735718,"Goose Creek State Park","State Park",NA,"https://www.ncparks.gov/state-parks/goose-creek-state-park","State parks",NA,NA,"2190 Camp Leach Rd, Washington, NC 27889","Accessible","https://www.ncparks.gov/state-parks/goose-creek-state-park"
"13",-82.9506545,35.0964141,"Gorges State Park","State Park",NA,"https://www.ncparks.gov/state-parks/gorges-state-park","State parks",NA,NA,"976 Grassy Ridge Rd, Sapphire, NC 28774","Accessible","https://www.ncparks.gov/state-parks/gorges-state-park"
"14",-81.8181518,36.1040754,"Grandfather Mountain State Park","State Park",NA,"https://www.ncparks.gov/state-parks/grandfather-mountain-state-park","State parks",NA,NA,"9872 Highway 105 South, Banner Elk, NC 28604","Accessible","https://www.ncparks.gov/state-parks/grandfather-mountain-state-park"
"15",-77.1418296,34.6718588,"Hammocks Beach State Park","State Park",NA,"https://www.ncparks.gov/state-parks/hammocks-beach-state-park","State parks",NA,NA,"1572 State Rd 1511, Swansboro, NC 28584","Accessible","https://www.ncparks.gov/state-parks/hammocks-beach-state-park"
"16",-80.253975,36.411521,"Hanging Rock State Park","State Park",NA,"https://www.ncparks.gov/state-parks/hanging-rock-state-park","State parks",NA,NA,"1790 Hanging Rock Park Rd, Danbury, NC 27016","Accessible","https://www.ncparks.gov/state-parks/hanging-rock-state-park"
"17",-79.75639,36.250859,"Haw River State Park","State Park",NA,"https://www.ncparks.gov/state-parks/haw-river-state-park","State parks",NA,NA,"339 Conference Center Dr, Browns Summit, NC 27214","Accessible","https://www.ncparks.gov/state-parks/haw-river-state-park"
"18",-75.6326293,35.9637835,"Jockey's Ridge State Park","State Park",NA,"https://www.ncparks.gov/state-parks/jockeys-ridge-state-park","State parks",NA,NA,"300 W Carolista Dr, Nags Head, NC 27959","Accessible","https://www.ncparks.gov/state-parks/jockeys-ridge-state-park"
"19",-78.5958905,34.6831766,"Jones Lake State Park","State Park",NA,"https://www.ncparks.gov/state-parks/jones-lake-state-park","State parks",NA,NA,"4117 NC-242 N, Elizabethtown, NC 28337","Accessible","https://www.ncparks.gov/state-parks/jones-lake-state-park"
"20",-79.0106798,35.7234262,"Jordan Lake State Recreation Area","State Park",NA,"https://www.ncparks.gov/state-parks/jordan-lake-state-recreation-area","State parks",NA,NA,"280 State Park Rd, Apex, NC 27523","Accessible","https://www.ncparks.gov/state-parks/jordan-lake-state-recreation-area"
"21",-78.369113,36.4437201,"Kerr Lake State Recreation Area","State Park",NA,"https://www.ncparks.gov/state-parks/kerr-lake-state-recreation-area","State parks",NA,NA,"6254 Satterwhite Point Rd, Henderson, NC 27537","Accessible","https://www.ncparks.gov/state-parks/kerr-lake-state-recreation-area"
"22",-81.8759106,35.7547804,"Lake James State Park","State Park",NA,"https://www.ncparks.gov/state-parks/lake-james-state-park","State parks",NA,NA,"2229 Lake James State Park Rd, Nebo, NC 28761","Accessible","https://www.ncparks.gov/state-parks/lake-james-state-park"
"23",-80.9325884,35.6721273,"Lake Norman State Park","State Park",NA,"https://www.ncparks.gov/state-parks/lake-norman-state-park","State parks",NA,NA,"759 State Park Rd, Troutman, NC 28166","Accessible","https://www.ncparks.gov/state-parks/lake-norman-state-park"
"24",-78.4657038,34.2786001,"Lake Waccamaw State Park","State Park",NA,"https://www.ncparks.gov/state-parks/lake-waccamaw-state-park","State parks",NA,NA,"1866 State Park Dr, Lake Waccamaw, NC 28450","Accessible","https://www.ncparks.gov/state-parks/lake-waccamaw-state-park"
"25",-79.001024,34.388761,"Lumber River State Park","State Park",NA,"https://www.ncparks.gov/state-parks/lumber-river-state-park","State parks",NA,NA,"2819 Princess Ann Rd, Orrum, NC 28369","Accessible","https://www.ncparks.gov/state-parks/lumber-river-state-park"
"26",-79.9489739,36.4398241,"Mayo River State Park","State Park",NA,"https://www.ncparks.gov/state-parks/mayo-river-state-park","State parks",NA,NA,"500 Old Mayo Park Rd, Mayodan, NC 27027","Accessible","https://www.ncparks.gov/state-parks/mayo-river-state-park"
"27",-77.888387,36.2637399,"Medoc Mountain State Park","State Park",NA,"https://www.ncparks.gov/state-parks/medoc-mountain-state-park","State parks",NA,NA,"1541 Medoc State Park Rd, Hollister, NC 27844","Accessible","https://www.ncparks.gov/state-parks/medoc-mountain-state-park"
"28",-76.6991524,36.4372051,"Merchants Millpond State Park","State Park",NA,"https://www.ncparks.gov/state-parks/merchants-millpond-state-park","State parks",NA,NA,"176 Mill Pond Rd, Gatesville, NC 27938","Accessible","https://www.ncparks.gov/state-parks/merchants-millpond-state-park"
"29",-80.101062,35.3703453,"Morrow Mountain State Park","State Park",NA,"https://www.ncparks.gov/state-parks/morrow-mountain-state-park","State parks",NA,NA,"49104 Morrow Mountain Rd, Albemarle, NC 28001","Accessible","https://www.ncparks.gov/state-parks/morrow-mountain-state-park"
"30",-81.4702679,36.401727,"Mount Jefferson State Natural Area","State Park",NA,"https://www.ncparks.gov/state-parks/mount-jefferson-state-natural-area","State parks",NA,NA,"1481 Mt Jefferson Rd, West Jefferson, NC 28694","Accessible","https://www.ncparks.gov/state-parks/mount-jefferson-state-natural-area"
